grade,age,gender,live,times moved,now living,time work,time no adult,time friend,time school act,time noschool act,time reading,time church,time HW,time excersize,time fruit,30 smoke,30 5drinks,30dr driving,30 cig,30cigars,30drink,30marijuana,30glue,30meth,30coke,30amph,30prescription,30counter,30chew,30steroid,30barbituates,pride,truth,values drug,responsibility,friends,fix problems,decision,excite,hard work,Pop cig,Pop drink,Pop marijuana,Pop otherdrug,safe,best school,talk adult,grades,home rules,home happy,home al drug,home close,home talk,home support,home know,home chores,home wrong,home praise,Wpdrink,N safe,
6th,11,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,2,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Average,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Always,Often,Always,Very wrong,Strongly agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,1-2 hours,1-2 hours,3-5 hours,0 hours,3-5 hours,3-5 hours,6-10 hours,1-2 hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,2,I did not eat fruit and/or vegetables during the past 7 days,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Often,Always,Often,Very wrong,Strongly agree,
6th,11,Female,"In a small city or town, less than 5,000 population",Twice,with a parent/s,1-2 hours,1-2 hours,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,4,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,.,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Always,Sometimes,Sometimes,Never,Very wrong,Disagree,
6th,11,Female,"In a large city over 30,000 population",None,with a parent/s,1-2 hours,1-2 hours,3-5 hours,1-2 hours,3-5 hours,0 hours,3-5 hours,1-2 hours,5,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,More popular,More popular,More popular,More popular,Agree,Agree,Agree,Average,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Wrong,Agree,
6th,11,Female,On a farm,Once,with a parent/s,0 hours,0 hours,3-5 hours,11 or more hours,11 or more hours,1-2 hours,6-10 hours,11 or more hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Always,Always,Often,Sometimes,Very wrong,Strongly agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,-1,0 hours,3-5 hours,1-2 hours,0 hours,0 hours,3-5 hours,1-2 hours,3-5 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,11,Female,"In a large city over 30,000 population",Twice,with a parent/s,0 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,0 hours,0 hours,1-2 hours,3,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,3-5 hours,3-5 hours,1-2 hours,3-5 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Average,Agree,Agree,Agree,Agree,Agree,Agree,Always,Often,Often,Sometimes,Very wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Three times,with a parent/s,0 hours,6-10 hours,1-2 hours,3-5 hours,1-2 hours,11 or more hours,1-2 hours,1-2 hours,7,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Excellent,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
