"gender","age","race","state","agency_responsible","congressional_district_113","latitude","longitude","congressperson_party","pop_total_census_tract","pop_white_census_tract","pop_black_census_tract","pop_asian_census_tract","pop_pacific_islander_census_tract","pop_native_american_census_tract"
"Male",27,"Black","KY","Louisville Metro Police Department","KY3",38.269982,-85.700032,"Democrat",695,"79%","19%","1%","0%","0%"
"Male",33,"White","IL","DeKalb Police Department","IL16",41.942255,-88.74828,"Republican",583,"100%","0%","0%","0%","0%"
"Male",60,"Black","MI","Kentwood Police Department","MI2",42.881485,-85.641945,"Republican",1684,"61%","27%","7%","0%","0%"
"Female",33,"White","NY","Syracuse Police Department","NY24",43.04948,-76.182448,"Republican",1212,"83%","17%","0%","0%","0%"
"Male",41,"White","NV","Reno Police Department","NV2",39.607408,-119.830974,"Republican",3296,"81%","3%","8%","0%","5%"
"Male",30,"Black","DC","DC Metropolitan Police Department","DC98",38.84212,-76.988207,"Democrat",2506,"2%","98%","0%","0%","0%"
"Male",33,"Black","FL","West Palm Beach Police Department","FL21",26.69229,-80.06042,"Democrat",1111,"96%","1%","0%","0%","0%"
"Male",40,"White","MO","Springfield Police Department","MO7",37.206213,-93.316051,"Republican",628,"90%","0%","0%","0%","0%"
"Male",30,"White","FL","Lee County Sheriff's Office","FL19",26.432976,-81.781083,"Republican",3094,"88%","8%","3%","1%","0%"
"Male",32,"Black","NC","Edgecombe County Sheriff's Office","NC1",35.883288,-77.587321,"Democrat",2139,"50%","49%","0%","0%","0%"
"Male",30,"White","CA","""Riverside County Sheriff's Department, Palm Springs Police Department""","CA36",33.909634,-116.943773,"Democrat",4718,"92%","2%","5%","0%","0%"
"Male",40,"White","MI","Michigan State Police","MI3",42.532709,-85.513956,"Republican",2799,"97%","1%","0%","0%","1%"
"Male",40,"White","SC","Anderson County Sheriff's Office","SC3",34.5133,-82.665612,"Republican",777,"71%","27%","0%","0%","0%"
"Male",43,"White","TN","Knoxville Police Department","TN2",35.95321,-83.895116,"Republican",574,"82%","17%","0%","0%","0%"
"Male",37,"White","IN","Indiana State Police","IN6",39.125779,-85.134993,"Republican",1376,"95%","0%","2%","0%","0%"
"Male",57,"White","NC","Brunswick County Sheriff's Office","NC7",34.351388,-78.119913,"Republican",2554,"43%","49%","1%","0%","4%"
"Male",27,"Black","SC","Lancaster County Sheriff's Office","SC5",35.005103,-80.851313,"Republican",6459,"95%","3%","1%","0%","0%"
"Male",22,"Hispanic","MO","St. Charles County Police Department","MO3",38.80919,-90.866487,"Republican",5340,"93%","2%","3%","0%","0%"
"Male",25,"Hispanic","TX","Hidalgo County Sheriff's Office","TX15",26.236296,-97.995667,"Democrat",4862,"0%","0%","0%","0%","0%"
"Male",24,"Black","NY","Rochester Police Department","NY25",43.150927,-77.631981,"Democrat",535,"22%","76%","1%","0%","0%"
"Male",23,"Black","AZ","Tucson Police Department","AZ2",32.264598,-110.971061,"Democrat",1397,"78%","8%","0%","5%","8%"
"Male",50,"White","FL","Pinellas County Sheriff's Office","FL13",27.808027,-82.685533,"Democrat",2586,"72%","2%","19%","0%","1%"
"Male",41,"Hispanic","NV","Nevada Highway Patrol","NV3",36.204244,-115.326966,"Democrat",1692,"89%","1%","9%","0%","0%"
"Male",41,"White","KS","Wichita Police Department","KS4",37.697263,-97.284021,"Republican",770,"74%","18%","2%","0%","0%"
"Male",28,"White","MI","Berrien County Sheriff's Office","MI6",41.793547,-86.24508,"Republican",887,"79%","11%","0%","0%","4%"
"Male",26,"Black","OH","Columbus Division of Police","OH3",39.924295,-82.883778,"Democrat",685,"40%","57%","0%","0%","0%"
"Male",36,"White","ME","Auburn Police Department","ME2",44.108572,-70.22684,"Democrat",703,"99%","1%","0%","0%","0%"
"Female",32,"Hispanic","CA","Delano Police Department","CA21",35.783011,-119.238694,"Republican",1687,"12%","1%","86%","0%","0%"
"Female",36,"White","IN","Indianapolis Metropolitan Police Department","IN7",39.80907,-86.168557,"Democrat",1680,"3%","90%","0%","0%","0%"
"Male",40,"Hispanic","GA","Chamblee Police Department","GA6",33.892409,-84.291812,"Democrat",1234,"0%","100%","0%","0%","0%"
"Male",30,"White","NV","Las Vegas Metropolitan Police Department","NV1",36.163816,-115.135325,"Democrat",1368,"53%","40%","3%","1%","1%"
"Male",49,"Hispanic","NV","Henderson Police Department","NV1",36.158985,-115.09332,"Democrat",893,"17%","32%","15%","0%","0%"
"Male",47,"White","SC","Charleston County Sheriff's Office","SC1",32.834981,-80.050306,"Republican",2878,"94%","3%","4%","0%","0%"
"Male",34,"White","PA","Mahoning Township Police Department","PA16",41.00934,-80.498406,"Republican",566,"100%","0%","0%","0%","0%"
"Male",27,"Black","GA","Smyrna Police Department","GA11",33.892159,-84.47359,"Republican",2828,"28%","61%","7%","0%","0%"
"Male",47,"Black","TN","Metropolitan Nashville Police Department","TN5",36.153164,-86.626718,"Democrat",3513,"57%","43%","0%","0%","0%"
"Female",21,"White","TX","Hawkins Police Department","TX1",32.597484,-95.206485,"Republican",2292,"54%","39%","0%","0%","4%"
"Male",38,"White","TX","Walker County Sheriff's Office","TX8",30.587924,-95.611291,"Republican",937,"93%","2%","1%","0%","3%"
"Male",25,"White","OK","Davis Police Department","OK4",34.494725,-97.106664,"Republican",1152,"75%","2%","3%","0%","9%"
"Male",33,"White","MO","Independence Police Department","MO5",39.07845,-94.45116,"Democrat",630,"71%","0%","6%","0%","0%"
"Male",49,"White","NJ","Mantua Township Police Department","NJ2",39.788071,-75.166317,"Republican",825,"91%","0%","10%","0%","0%"
"Male",30,"Hispanic","CA","U.S. Federal Bureau of Investigation","CA13",37.789275,-122.220893,"Democrat",1075,"24%","16%","49%","0%","1%"
"Male",39,"Black","GA","Cobb County Police Department","GA13",33.881981,-84.539114,"Democrat",2168,"33%","62%","3%","0%","0%"
"Male",46,"Hispanic","TX","San Antonio Police Department","TX20",29.347055,-98.555669,"Democrat",630,"0%","0%","0%","0%","0%"
"Male",31,"White","TX","Bexar County Sheriff's Office","TX35",29.446205,-98.430951,"Democrat",3120,"9%","79%","0%","0%","8%"
"Male",30,"Black","LA","Shreveport Police Department","LA4",32.441918,-93.763137,"Republican",452,"12%","88%","0%","0%","0%"
"Male",33,"White","KS","Topeka Police Department","KS2",39.052297,-95.682323,"Republican",688,"48%","49%","0%","0%","2%"
"Male",29,"Black","MD","Prince George's County Police Department","MD4",38.82277,-76.989182,"Democrat",1144,"13%","87%","0%","0%","0%"
"Male",28,"White","AZ","Phoenix Police Department","AZ7",33.462877,-112.082694,"Democrat",1027,"87%","3%","5%","0%","1%"
"Male",31,"White","UT","Salt Lake City Police Department","UT2",40.955301,-111.881344,"Republican",3010,"96%","0%","0%","0%","0%"
"Male",37,"White","MO","""Missouri State Highway Patrol, Webster County Sheriff's Office, Seymour Police Department""","MO4",37.166123,-92.855059,"Republican",1747,"95%","4%","0%","0%","0%"
"Male",35,"White","NC","Roxboro Police Department","NC13",36.38241,-78.987699,"Republican",651,"16%","83%","0%","0%","0%"
"Male",35,"White","CA","California Highway Patrol","CA2",40.918145,-124.120356,"Democrat",1320,"84%","1%","3%","0%","2%"
"Male",40,"Hispanic","CA","Gilroy Police Department","CA19",37.007918,-121.577738,"Democrat",1653,"96%","1%","0%","0%","2%"
"Male",53,"White","CA","Sacramento Police Department","CA6",38.5414,-121.423319,"Democrat",1055,"88%","0%","0%","0%","0%"
"Male",52,"White","TX","Lufkin Police Department","TX1",31.344716,-94.723239,"Republican",1385,"25%","65%","0%","0%","0%"
"Male",45,"White","ND","North Dakota Highway Patrol","ND0",46.847949,-100.915879,"Republican",1479,"97%","0%","0%","0%","3%"
"Male",43,"White","TX","""Angelina County Sheriff's Office, Lufkin Police Department""","TX1",31.360277,-94.760477,"Republican",1188,"67%","29%","3%","0%","0%"
"Male",32,"Black","FL","Pinellas County Sheriff's Office","FL12",28.004789,-82.747574,"Republican",1122,"84%","6%","0%","0%","0%"
"Male",59,"Hispanic","OR","Lane County Sheriff's Office","OR4",44.067396,-122.898531,"Democrat",1949,"100%","0%","0%","0%","0%"
"Male",41,"Black","OH","Miami Township Police Department","OH10",39.609643,-84.223241,"Republican",2650,"77%","9%","8%","0%","0%"
"Male",25,"White","WA","Lakewood Police Department","WA10",47.121063,-122.534355,"Democrat",1265,"73%","11%","1%","11%","2%"
"Male",60,"Black","CA","Buena Park Police Department","CA39",33.860675,-118.013945,"Republican",990,"29%","12%","59%","0%","0%"
"Male",52,"White","WV","""Weston Police Department, Lewis County Sheriff's Office, West Virginia State Police""","WV2",39.020518,-80.414379,"Republican",1017,"95%","0%","2%","0%","0%"
"Male",37,"Hispanic","NM","Dona Ana County Sheriff's Office","NM2",32.419535,-106.665323,"Republican",3132,"98%","0%","0%","0%","0%"
"Male",18,"Hispanic","TX","Lake Worth Police Department","TX12",32.726142,-97.408257,"Republican",1054,"25%","70%","5%","0%","0%"
"Female",52,"Hispanic","CO","Arapahoe County Sheriff's Office","CO6",39.67107,-104.899935,"Democrat",995,"36%","53%","5%","0%","0%"
"Male",33,"Black","IN","Indianapolis Metropolitan Police Department","IN7",39.796046,-86.073557,"Democrat",593,"50%","50%","0%","0%","0%"
"Male",39,"Hispanic","TX","""Harris County Sheriff's Office, Houston Police Department""","TX29",29.882974,-95.37085,"Democrat",2352,"100%","0%","0%","0%","0%"
"Male",55,"White","CA","Anaheim Police Department","CA46",33.842668,-117.968632,"Democrat",1756,"24%","7%","69%","0%","0%"
"Male",38,"Black","FL","Brevard County Sheriff's Office","FL8",28.078798,-80.671559,"Republican",1554,"94%","0%","5%","0%","0%"
"Male",80,"Black","MS","Hancock County Sheriff's Office","MS4",30.230374,-89.589094,"Republican",559,"100%","0%","0%","0%","0%"
"Female",48,"Hispanic","FL","Miami Shores Police Department","FL24",25.861982,-80.198836,"Democrat",821,"15%","47%","6%","0%","0%"
"Female",36,"White","FL","Coconut Creek Police Department","FL22",26.31741,-80.18365,"Democrat",3536,"79%","14%","3%","0%","0%"
"Male",66,"White","IL","Normal Police Department","IL18",40.541743,-88.98178,"Republican",3918,"93%","3%","2%","0%","0%"
"Male",31,"Black","MT","Missoula County Sheriff's Office","MT0",46.986771,-114.403563,"Republican",2742,"94%","0%","0%","1%","3%"
"Male",48,"Hispanic","PA","Falls Township Police Department","PA1",40.201314,-74.817713,"Republican",2807,"77%","15%","5%","0%","0%"
"Male",30,"White","NV","""Nye County Sheriff's Office, Esmeralda County Sheriff's Office""","NV4",37.708043,-117.234166,"Democrat",368,"91%","7%","0%","0%","2%"
"Male",33,"Hispanic","HI","Honolulu Police Department","HI1",21.29519,-157.851864,"Democrat",368,"6%","0%","76%","0%","0%"
"Male",30,"White","OR","""Portland Police Bureau, Drug Enforcement Administration""","OR3",45.583652,-122.683762,"Democrat",1092,"77%","14%","0%","3%","3%"
"Male",53,"White","NY","""New York State Police, Elmira Police Department""","NY23",42.104272,-76.82649,"Republican",842,"88%","6%","0%","0%","0%"
"Male",41,"Black","NC","Greensboro Police Department","NC6",36.041903,-79.793057,"Democrat",750,"17%","81%","0%","0%","0%"
"Male",33,"Hispanic","VT","Rutland City Police Department","VT0",43.59574,-72.969299,"Democrat",1281,"99%","1%","0%","0%","0%"
"Male",43,"White","WA","West Richland Police Department","WA4",46.297782,-119.340081,"Republican",796,"98%","0%","0%","1%","0%"
"Male",22,"Black","GA","Clayton County Sheriff's Office","GA13",33.618664,-84.459125,"Democrat",340,"10%","90%","0%","0%","0%"
"Male",48,"White","UT","Provo Police Department","UT3",40.237647,-111.674478,"Republican",1674,"94%","2%","0%","0%","0%"
"Male",33,"Black","IL","Amtrak Police Department","IL15",38.332019,-89.190974,"Republican",785,"100%","0%","0%","0%","0%"
"Male",42,"Hispanic","TX","Amarillo Police Department","TX13",35.205333,-101.808618,"Republican",1070,"88%","4%","0%","0%","4%"
"Male",35,"White","PA","Butler City Police Department","PA16",40.861223,-79.898752,"Republican",1104,"72%","13%","0%","0%","2%"
"Male",59,"Hispanic","CA","Guadalupe Police Department","CA24",34.957853,-120.570675,"Democrat",1038,"0%","0%","97%","0%","0%"
"Male",31,"Black","WI","Greenfield Police Department","WI4",43.006608,-87.94793,"Democrat",1592,"92%","0%","0%","0%","0%"
"Male",45,"White","GA","Liberty County Sheriff's Office","GA1",31.786587,-81.605748,"Republican",2656,"51%","41%","6%","0%","2%"
"Male",28,"White","MS","Rankin County Sheriff's Department","MS3",32.155235,-90.002706,"Republican",551,"92%","8%","0%","0%","0%"
"Male",34,"Hispanic","TX","Amarillo Police Department","TX13",35.198115,-101.820338,"Republican",894,"36%","64%","0%","0%","0%"
"Male",72,"White","TX","Pflugerville Police Department","TX17",30.465725,-97.63997,"Republican",2305,"67%","21%","10%","0%","0%"
"Male",41,"Black","TX","""Burleson County Sheriff's Office, Texas Department of Public Safety""","TX17",30.411595,-96.683149,"Republican",994,"79%","21%","0%","0%","0%"
"Male",50,"White","WV","Raleigh County Sheriff's Office","WV3",37.792154,-81.180028,"Republican",724,"80%","6%","0%","0%","0%"
"Male",28,"Black","GA","Cobb County Police Department","GA11",33.938119,-84.55456,"Republican",945,"59%","33%","0%","0%","0%"
"Male",34,"Hispanic","CA","San Bernardino County Sheriff's Department","CA8",34.120118,-117.227377,"Republican",2118,"41%","43%","15%","0%","2%"
"Female",27,"Native American","CO","Arvada Police Department","CO7",39.785693,-105.110858,"Democrat",1326,"93%","0%","5%","0%","0%"
"Male",27,"Black","TN","Shelby County Sheriff's Office","TN9",35.082459,-89.93911,"Democrat",893,"1%","99%","0%","0%","0%"
"Female",29,"White","TN","Sullivan County Sheriff's Office","TN1",36.376958,-82.679505,"Republican",1385,"100%","0%","0%","0%","0%"
"Male",40,"White","SC","Newberry County Sheriff's Office","SC2",34.171215,-81.304637,"Republican",5514,"79%","14%","1%","0%","0%"
"Male",34,"Hispanic","NM","Albuquerque Police Department","NM1",35.108544,-106.54069,"Democrat",1232,"85%","6%","2%","0%","3%"
"Female",38,"White","MA","Saugus Police Department","MA6",42.496482,-71.020027,"Democrat",1671,"84%","2%","13%","0%","0%"
"Male",35,"White","TX","San Antonio Police Department","TX23",29.399703,-98.397377,"Republican",1416,"21%","66%","0%","0%","1%"
"Male",35,"White","TX","Harris County Constable Pct 3","TX36",29.830834,-94.54076,"Republican",1373,"70%","30%","0%","0%","0%"
"Male",73,"White","FL","""Orlando Police Department, Orange County Sheriff's Office""","FL10",28.430727,-81.344334,"Democrat",1978,"94%","0%","0%","0%","0%"
"Male",34,"Hispanic","CA","Los Angeles County Sheriff's Department","CA25",34.492452,-118.621266,"Republican",1609,"52%","6%","13%","1%","0%"
"Male",31,"White","TN","Metropolitan Nashville Police Department","TN5",36.152178,-86.847473,"Democrat",2212,"86%","1%","8%","0%","0%"
"Male",41,"Pacific Islander","HI","Honolulu Police Department","HI1",21.330827,-157.865442,"Democrat",873,"1%","1%","72%","12%","0%"
"Male",51,"White","IL","North Aurora Police Department","IL14",41.81449,-88.307464,"Democrat",2733,"97%","2%","0%","0%","0%"
"Male",71,"White","NC","""Pamlico County Sheriff's Office, North Carolina State Highway Patrol, Oriental Police Department, North Carolina Probation and Parole""","NC3",35.025534,-76.894079,"Republican",1170,"92%","6%","0%","0%","0%"
"Male",63,"White","GA","Whitfield County Sheriff's Office","GA14",34.809121,-85.038505,"Republican",876,"96%","2%","0%","0%","0%"
"Male",39,"Hispanic","CA","Tustin Police Department","CA45",33.74021,-117.83948,"Democrat",3099,"46%","15%","35%","0%","0%"
"Male",40,"Black","MD","Baltimore Police Department","MD2",39.351258,-76.546359,"Democrat",696,"41%","57%","2%","0%","0%"
"Male",62,"White","TX","Harris County Sheriff's Office","TX8",30.077307,-95.51277,"Republican",5948,"73%","15%","11%","0%","0%"
"Male",22,"Black","LA","Lafayette Police Department","LA3",30.1865,-92.063383,"Republican",1749,"71%","24%","0%","0%","0%"
"Male",21,"Hispanic","CA","Bakersfield Police Department","CA23",35.301725,-119.057179,"Republican",1023,"66%","15%","18%","0%","0%"
"Male",34,"White","ID","Coeur d'Alene Police Department","ID1",47.739082,-116.840908,"Republican",11122,"94%","0%","2%","0%","2%"
"Male",59,"White","NY","New York State Police","NY19",42.231863,-74.91673,"Democrat",573,"93%","3%","0%","0%","0%"
"Male",22,"Asian","CA","La Habra Police Department","CA39",33.932429,-117.945707,"Republican",883,"85%","0%","12%","0%","0%"
"Male",49,"White","AL","Alabama State Bureau of Investigation","AL4",34.118459,-86.862141,"Republican",1360,"99%","0%","1%","0%","0%"
"Male",22,"White","WA","Seattle Police Department","WA7",47.513694,-122.3605,"Democrat",896,"59%","12%","16%","0%","3%"
"Male",35,"White","IN","Parke County Sheriff's Office","IN8",39.740803,-87.05183,"Republican",625,"100%","0%","0%","0%","0%"
"Male",36,"Hispanic","MO","Webb City Police Department","MO7",37.127852,-94.504167,"Republican",2098,"92%","5%","0%","0%","0%"
"Male",35,"White","VT","Hartford Police Department","VT0",43.660215,-72.333663,"Democrat",2073,"94%","1%","1%","0%","0%"
"Male",38,"White","OH","""Mansfield Police Department, Ontario Police Department""","OH7",40.758206,-82.391588,"Republican",901,"89%","0%","0%","0%","1%"
"Male",19,"White","ID","Bingham County Sheriff's Office","ID2",43.181147,-112.349808,"Republican",1198,"99%","0%","0%","0%","1%"
"Male",22,"White","PA","Plymouth Township Police Department","PA4",40.085652,-75.298322,"Democrat",1819,"84%","10%","5%","0%","1%"
"Male",76,"White","TX","Waco Police Department","TX17",31.518589,-97.202661,"Republican",1796,"55%","43%","0%","0%","0%"
"Male",31,"Hispanic","CA","Tulare County Sheriff's Office","CA21",36.094524,-119.187817,"Republican",863,"100%","0%","0%","0%","0%"
"Male",49,"White","CO","Arapahoe County Sheriff's Office","CO6",39.622675,-104.750335,"Democrat",2441,"88%","5%","6%","0%","0%"
"Male",44,"Hispanic","TX","Celina Police Department","TX4",33.324316,-96.794322,"Republican",1556,"93%","5%","0%","0%","0%"
"Male",31,"Black","OH","Mansfield Police Department","OH12",40.750522,-82.527876,"Republican",1486,"79%","19%","0%","0%","0%"
"Male",32,"White","AL","Elmore County Sheriff's Office","AL2",32.471465,-86.0879,"Republican",6286,"84%","12%","1%","0%","0%"
"Male",56,"White","PA","U.S. Marshals","PA12",41.802492,-77.496677,"Republican",969,"97%","1%","1%","0%","0%"
"Male",55,"Black","IL","U.S. Marshals Service","IL2",41.622437,-87.56545,"Democrat",1076,"14%","86%","0%","0%","0%"
"Female",19,"Black","IL","Dolton Police Department","IL2",41.622291,-87.602323,"Democrat",1375,"3%","97%","0%","0%","0%"
"Female",29,"Hispanic","TX","San Antonio Police Department","TX35",29.366313,-98.480749,"Democrat",489,"34%","0%","0%","0%","0%"
"Male",58,"Hispanic","CA","Los Angeles Police Department","CA37",34.010139,-118.42726,"Democrat",2430,"56%","10%","21%","0%","0%"
"Male",38,"Black","GA","Atlanta Police Department ","GA5",33.777735,-84.474458,"Democrat",1051,"8%","89%","0%","0%","0%"
"Male",41,"Hispanic","CA","Kern County Sheriff's Office","CA21",35.600777,-119.343457,"Republican",1500,"88%","0%","0%","0%","0%"
"Male",25,"White","TX","Boerne Police Department","TX21",29.796001,-98.715192,"Republican",1467,"89%","1%","0%","3%","0%"
"Male",40,"Hispanic","PA","Philadelphia Police Department","PA2",39.995442,-75.129082,"Democrat",1745,"21%","72%","7%","0%","0%"
"Male",43,"White","OK","Duncan Police Department","OK4",34.499256,-97.949761,"Republican",1323,"62%","25%","0%","0%","9%"
"Male",19,"Native American","CA","Salinas Police Department","CA20",36.672348,-121.637028,"Democrat",1475,"7%","68%","7%","0%","0%"
"Male",37,"Hispanic","FL","Polk County Sheriff's Office","FL9",28.212254,-81.596416,"Democrat",7727,"76%","14%","3%","0%","1%"
"Male",35,"White","PA","Pennsylvania State Police","PA10",40.391159,-76.781166,"Republican",1939,"100%","0%","0%","0%","0%"
"Male",43,"White","GA","Grady County Sheriff's Office","GA2",30.839856,-84.123513,"Democrat",1821,"46%","55%","0%","0%","0%"
"Male",35,"White","AL","""Spanish Fort Police Department, Daphne Police Department, Baldwin County Sheriff's Office""","AL1",30.659712,-87.85267,"Republican",9195,"81%","11%","3%","0%","0%"
